round,claim_id,step_index,from_item_id,link_id,to_item_id,traversal,why_step_matters,status,expected_from_item_id,expected_to_item_id
round0,C1,1,APW060.method.physical_priors_constraints,C0020,HPM117.method.symmetry_aware_pruning,forward,"Establishes that prior work treats physical priors/constraints in autoregressive ansatze as ad hoc, motivating a more systematic constraint-enforcement mechanism (symmetry-aware pruning) as a remedy target.",ok,APW060.method.physical_priors_constraints,HPM117.method.symmetry_aware_pruning
round0,C2,1,OPW085.method.reverse_sampling_order,C0021,HPM117.method.symmetry_aware_pruning,forward,"Links an alternative autoregressive sampling strategy (reverse sampling order leveraging structure) to symmetry-aware pruning, supporting the idea that sampling-order control is a relevant lever alongside pruning.",ok,OPW085.method.reverse_sampling_order,HPM117.method.symmetry_aware_pruning
round0,C3,1,HPM026.future.alternative_sampling_deeper_networks,C0017,HPM117.method.symmetry_aware_pruning,forward,"Connects an explicit future-work call for alternative sampling (and deeper architectures) to the concrete pruning method, justifying a Round 0 proposal focused on sampling efficiency/constraints rather than only increasing model size.",ok,HPM026.future.alternative_sampling_deeper_networks,HPM117.method.symmetry_aware_pruning
round1,C1,1,HPM117.paper,I0021,HPM117.problem.anqs_symmetry_sampling,forward,"Pins down the core bottleneck for this branch: vanilla autoregressive sampling does not naturally respect quantum-number symmetries during generation, so “symmetry compliance during sampling” is a first-class constraint problem (not just a post-hoc projection detail).",ok,HPM117.paper,HPM117.problem.anqs_symmetry_sampling
round1,C2,1,HPM117.paper,I0022,HPM117.problem.postselection_waste,forward,"Establishes the cost of the naive workaround (postselection) as wasted compute, motivating online constraint handling rather than generate-then-reject.",ok,HPM117.paper,HPM117.problem.postselection_waste
round1,C3,1,HPM117.paper,I0023,HPM117.method.symmetry_aware_pruning,forward,"Grounds the concrete mechanism: prune infeasible partial assignments on-the-fly to make sampling symmetry-aware (i.e., enforce constraints during the autoregressive traversal).",ok,HPM117.paper,HPM117.method.symmetry_aware_pruning
round1,C4,1,HPM117.paper,I0026,HPM117.result.chemical_accuracy_speedup,forward,"Provides evidence that symmetry-aware sampling/pruning is not merely aesthetic: it can retain chemical-accuracy while producing large speedups, so improving the sampling path can translate into end-to-end gains.",ok,HPM117.paper,HPM117.result.chemical_accuracy_speedup
round1,C5,1,HPM117.paper,I0027,HPM117.limitation.dus_sample_loss,forward,"Adds an internal failure mode that the Round 0 idea understated: aggressive pruning can lead to “no samples” events and stall optimization, so any extension must explicitly manage sample-loss risk.",ok,HPM117.paper,HPM117.limitation.dus_sample_loss
round1,C6,1,OPW085.paper,I0031,OPW085.method.reverse_sampling_order,forward,"Supports the second lever in the Round 0 proposal: generation order matters in practice, and can be chosen to exploit problem structure (here: an ordering informed by the molecular encoding / Jordan-Wigner structure). This makes “learned ordering / policy” a plausible add-on to pruning.",ok,OPW085.paper,OPW085.method.reverse_sampling_order
round1,C7,1,APW060.method.physical_priors_constraints,I0012,APW060.problem.qc_nonlocal_sample_complexity,forward,"Re-emphasizes that “baking in” physical constraints is used as a practical response to nonlocality/sample complexity, but it is an architectural commitment. This keeps the motivation for an online feasibility filter (pruning) that can enforce constraints without hard-wiring too much bias into the ansatz itself.",ok,APW060.method.physical_priors_constraints,APW060.problem.qc_nonlocal_sample_complexity
round2,C1,1,HPM117.paper,J0015,HPM117.problem.anqs_symmetry_sampling,forward,"Re-anchors the branch bottleneck: in autoregressive NQS, incorporating quantum-number symmetries *during sampling* is intrinsically challenging, so the intervention point is the sampling procedure itself (not only the wavefunction parameterization).",ok,HPM117.paper,HPM117.problem.anqs_symmetry_sampling
round2,C2,1,HPM117.paper,J0016,HPM117.problem.postselection_waste,forward,"Justifies online constraint handling: the naive workaround (postselecting into the right symmetry sector) wastes compute, so any efficiency gain must come from avoiding invalid branches earlier.",ok,HPM117.paper,HPM117.problem.postselection_waste
round2,C3,1,HPM117.paper,J0017,HPM117.method.symmetry_aware_pruning,forward,"Grounds the concrete mechanism: symmetry-aware pruning is an on-the-fly tree-pruning procedure over partial assignments, making feasibility a first-class control-flow element in sampling.",ok,HPM117.paper,HPM117.method.symmetry_aware_pruning
round2,C4,1,HPM117.paper,J0020,HPM117.result.chemical_accuracy_speedup,forward,"Shows the mechanism matters end-to-end: pruning-based symmetry-aware sampling can retain chemical accuracy while providing order-of-magnitude speedups, so sampler engineering is not just “overhead reduction.”",ok,HPM117.paper,HPM117.result.chemical_accuracy_speedup
round2,C5,1,HPM117.paper,J0021,HPM117.limitation.dus_sample_loss,forward,"Forces a narrowing of the idea: some pruning strategies can increase “no sample produced” events (sample-yield collapse), which can stall optimization; preventing empty-yield episodes becomes a primary design goal.",ok,HPM117.paper,HPM117.limitation.dus_sample_loss
round2,C6,1,OPW085.paper,J0025,OPW085.method.reverse_sampling_order,forward,"Supports the “ordering/policy” lever: for molecular encodings, changing the autoregressive variable order (e.g., reversing it) is explicitly used to improve sampling effectiveness, making an ordering controller a plausible companion to pruning.",ok,OPW085.paper,OPW085.method.reverse_sampling_order
round2,C7,1,OPW085.method.tensor_local_energy_parallel,J0030,OPW085.problem.local_energy_sampling_scalability,forward,"Adds the scaling constraint that interacts with sampling: local-energy evaluation is a bottleneck and is addressed via GPU tensorization/distributed batches; pruning/order changes must be compatible with high-throughput batched execution, not only reduce logical backtracking.",ok,OPW085.method.tensor_local_energy_parallel,OPW085.problem.local_energy_sampling_scalability
round2,C8,1,OPW085.paper,J0028,OPW085.result.weak_scaling_batch,forward,"Reinforces the “batching as a first-class knob” premise: large batches and parallelization can achieve near-optimal weak scaling, suggesting the pruning+ordering extension should be evaluated under large-batch regimes (where yield collapse can be especially expensive).",ok,OPW085.paper,OPW085.result.weak_scaling_batch
round2,C9,1,APW060.paper,J0009,APW060.limitation.local_energy_barrier,forward,"Connects to an older internal scaling diagnosis: after improving sampling, local-energy evaluation becomes the remaining dominant expense, so sampler-side improvements should be judged by their downstream impact on local-energy throughput and total optimization wall-clock.",ok,APW060.paper,APW060.limitation.local_energy_barrier
round2,C10,1,APW060.method.physical_priors_constraints,J0012,APW060.problem.qc_nonlocal_sample_complexity,forward,"Preserves the original motivation: hard-coding physical priors/constraints is used to cope with nonlocality/sample complexity, but it is an architectural commitment; pruning provides a way to enforce feasibility online without permanently baking in all structure into the ansatz.",ok,APW060.method.physical_priors_constraints,APW060.problem.qc_nonlocal_sample_complexity
