item_id,item_kind,label,paper_id,year,section,evidence,paraphrase
CSSA170.paper,paper,Large-scale Neural Network Quantum States for ab initio Quantum Chemistry Simulations on Fugaku,NQSC170,2025,title,[redacted_for_public_release],Paper node for the Fugaku large-scale NQS framework.
CSSA170.problem.scalability_barriers,problem,"Large-scale NQS training hits sampling, local-energy, and transformer-cache barriers",NQSC170,2025,abstract,[redacted_for_public_release],The paper frames large-scale molecular NQS as blocked by compute and memory scalability.
CSSA170.method.sampling_parallelism,method,Multi-stage memory-stable sampling parallelism with hybrid BFS/DFS,NQSC170,2025,Scalable and Memory-stable Sampling Parallelism,[redacted_for_public_release],The framework partitions sampling work hierarchically and controls memory with a hybrid sampling scheme.
CSSA170.method.energy_parallelism,method,MPI/OpenMP/SIMD multi-level local-energy parallelism,NQSC170,2025,Multi-level Energy Calculation Parallelism,[redacted_for_public_release],"The framework parallelizes local energy across samples, threads, and vector lanes."
CSSA170.method.cache_optimization,method,Cache-centric transformer KV-cache pooling and selective recomputation,NQSC170,2025,Cache-Centric Optimization for Transformers,[redacted_for_public_release],"The framework manages transformer KVCache memory with fixed pooling, recomputation, and lazy expansion."
CSSA170.benchmark.fugaku_systems,benchmark,"Fugaku tests on N2, Fe2S2, H50, and benzene-scale systems",NQSC170,2025,Evaluation,[redacted_for_public_release],The evaluation spans increasing spin-orbital counts including strongly correlated and molecular benchmarks.
CSSA170.result.precision_validation,result_claim,Framework reproduces FCI-level ground-state energies on validation molecules,NQSC170,2025,Precision and Performance Validation,[redacted_for_public_release],"The framework is validated against accurate FCI-like energies for N2, PH3, and LiCl."
CSSA170.result.overall_speedup,result_claim,Fugaku framework reaches up to 8.41x speedup and high parallel efficiency,NQSC170,2025,abstract,[redacted_for_public_release],The paper reports large end-to-end speedup and high scaling efficiency.
CSSA170.result.memory_sampling,result_claim,Memory-stable sampling scales to 1.024e7 samples without OOM,NQSC170,2025,Sampling Parallelism,[redacted_for_public_release],The sampling method controls peak memory while scaling sample count.
CSSA170.result.energy_speedup,result_claim,SIMD plus OpenMP gives up to 20.8x local-energy speedup for H50,NQSC170,2025,Energy Parallelism,[redacted_for_public_release],The evaluation reports local-energy speedups from vectorization and threading.
CSSA170.future.exascale,future_work,Framework informs next-generation exascale hybrid HPC-AI workloads,NQSC170,2025,Conclusion,[redacted_for_public_release],The conclusion positions the work as guidance for future exascale NQS workloads.
NQSC164.paper,paper,Expressivity of determinantal ansatzes for neural network wave functions,NQSC164,2025,title,[redacted_for_public_release],Paper node for Zhan et al. on determinantal/spinor expressivity.
NQSC164.problem.full_det_spin_relation,problem,Relation between full determinant and spinor/quantum-chemistry ansatzes was open,NQSC164,2025,Introduction,[redacted_for_public_release],The paper targets the theory gap around full determinant expressivity and spin structure.
NQSC164.method.expressivity_hierarchy,method,"Variational expressivity hierarchy for collinear, spinor, projected spinor/full determinant, and generalized spinor ansatzes",NQSC164,2025,Introduction,[redacted_for_public_release],The paper establishes energy-ordering relationships among determinant/spinor ansatzes.
NQSC164.method.spinor_generalized_spinor,method,Generalized spinor contains both spinor and antisymmetrized full determinant,NQSC164,2025,Generalized spinor contains spinor and full determinant,[redacted_for_public_release],The generalized spinor construction is used to relate full determinant to valid antisymmetric spinor forms.
NQSC164.assumption.spin_independent_projection,assumption,Spin-projected full determinant is valid only for spin-independent operators,NQSC164,2025,Evaluating expectation values of the Hamiltonian,[redacted_for_public_release],The theoretical bounds rely on spin-independent Hamiltonians and fixed-spin projection assumptions.
NQSC164.benchmark.h3_2deg,benchmark,H3 molecule and two-dimensional HEG test determinant/spinor bounds,NQSC164,2025,Numerical Experiments,[redacted_for_public_release],The paper numerically tests the theory on H3 and 2D HEG systems.
NQSC164.result.energy_bounds_confirmed,result_claim,H3 and 2DEG experiments confirm projected spinor/full determinant energy bounds,NQSC164,2025,Bounds on ansatz energy for an H3 molecule,[redacted_for_public_release],The experiments verify the expected ordering for fixed orbital expressivity.
NQSC164.limitation.full_det_spin_dependent_invalid,limitation,Full determinant/spin projection is invalid for spin-dependent Hamiltonians,NQSC164,2025,Spin-independent and corresponding spin-dependent system,[redacted_for_public_release],The paper warns that full determinant relies on spin projection and fails for spin-dependent systems.
NQSC164.future.spin_dependent_materials,future_work,Spinor NN wave functions open realistic simulations of spin-dependent material properties,NQSC164,2025,Conclusions,[redacted_for_public_release],The authors identify spin-dependent material simulations as the forward direction.
NQSC199.paper,paper,Essentially No Energy Barrier Between Independent Fermionic Neural Quantum State Minima,NQSC199,2026,title,[redacted_for_public_release],Paper node for Dai and Soljacic on NQS mode connectivity.
NQSC199.problem.nqs_loss_landscape,problem,NQS loss landscape remains poorly understood and debated,NQSC199,2026,abstract,[redacted_for_public_release],The paper motivates empirical study of NQS optimization landscapes.
NQSC199.method.geoneb,method,GeoNEB combines stochastic reconfiguration with nudged elastic band path optimization,NQSC199,2026,abstract,[redacted_for_public_release],GeoNEB is introduced to construct minimum-energy paths between NQS minima.
NQSC199.method.psiformer_quantum_dot,method,"Modified Psiformer with determinant, Jastrow, and envelope for a quantum-dot NQS",NQSC199,2026,Neural Quantum States,[redacted_for_public_release],"The ansatz uses transformer layers, a determinant, Jastrow factor, and envelope."
NQSC199.benchmark.six_electron_quantum_dot,benchmark,Strongly interacting six-electron 2D quantum dot at coupling $C=4$,NQSC199,2026,Results,[redacted_for_public_release],The paper uses a strongly interacting quantum dot as its path-connectivity testbed.
NQSC199.result.low_energy_barrier,result_claim,GeoNEB connects independent Psiformer minima with a barrier three orders below linear interpolation,NQSC199,2026,Expected Energy Barriers,[redacted_for_public_release],The optimized path has an essentially tiny energy barrier relative to linear interpolation.
NQSC199.evaluation.energy_angular_variance,evaluation,Energy variance and angular momentum variance validate physical quality along the path,NQSC199,2026,Operator Variance Barriers,[redacted_for_public_release],The paper uses operator variances to check physical validity beyond energy.
NQSC199.interpretation.mode_connectivity_benign,interpretation,Optimized mode connectivity suggests a reasonably benign NQS loss landscape,NQSC199,2026,Discussion,[redacted_for_public_release],The authors interpret the results as evidence against a strongly rugged NQS-landscape picture.
NQSC199.limitation.jastrow_keystone_parameter,limitation,Rapid Jastrow alpha variation may complicate NQS landscape geometry,NQSC199,2026,Discussion,[redacted_for_public_release],The paper flags uncertainty about a Jastrow keystone parameter's landscape role.
NQSC199.future.freeze_jastrow_alpha,future_work,Freezing the Jastrow alpha hyperparameter could improve optimization with little accuracy loss,NQSC199,2026,Discussion,[redacted_for_public_release],The authors suggest a concrete optimization follow-up around Jastrow hyperparameters.
DTO201.paper,paper,Parametric Quantum State Tomography with HyperRBMs,NQSC201,2026,title,[redacted_for_public_release],Paper node for HyperRBM parametric tomography.
DTO201.problem.pointwise_qst_retraining,problem,Point-wise neural QST requires retraining and is inefficient across phase diagrams,NQSC201,2026,abstract/introduction,[redacted_for_public_release],The paper motivates parametric tomography by the cost of retraining at each Hamiltonian parameter.
DTO201.method.hyperrbm_film,method,Use a FiLM hypernetwork to condition RBM tomography on Hamiltonian parameters,NQSC201,2026,conditional RBM/hypernetwork,[redacted_for_public_release],The HyperRBM uses a hypernetwork to modulate RBM parameters as the Hamiltonian parameter changes.
DTO201.method.conditional_distribution,method,Learn a conditional measurement model p(s|g) from data across parameter values,NQSC201,2026,theory,[redacted_for_public_release],The model learns a family of states rather than independent point reconstructions.
DTO201.method.z2_symmetry_augmented,method,Enforce Z2 symmetry through a symmetrized ansatz and augmented Gibbs sampling,NQSC201,2026,symmetry,[redacted_for_public_release],The implementation incorporates physical symmetry into conditional RBM tomography.
DTO201.benchmark.tfim_1d2d_phase,benchmark,One-dimensional and two-dimensional TFIM phase-diagram tomography,NQSC201,2026,TFIM setup,[redacted_for_public_release],The paper evaluates parametric tomography over 1D and 2D TFIM parameter ranges.
DTO201.evaluation.fidelity_susceptibility,evaluation,Evaluate local observables global fidelity Renyi entropy and fidelity susceptibility,NQSC201,2026,evaluation,[redacted_for_public_release],The evaluation uses both local and global phase-diagram diagnostics.
DTO201.result.high_overlap_interpolation,result_claim,HyperRBM interpolates magnetizations and keeps high overlap across support points,NQSC201,2026,results,[redacted_for_public_release],The paper reports accurate interpolation across the phase diagram.
DTO201.result.critical_peak,result_claim,HyperRBM fidelity susceptibility reproduces the critical-field peak,NQSC201,2026,fidelity susceptibility,[redacted_for_public_release],The method recovers the critical point from the learned state family.
DTO201.future.nonstoquastic_complex,future_work,Extend parametric tomography to non-stoquastic and complex systems,NQSC201,2026,conclusion,[redacted_for_public_release],The conclusion proposes harder non-stoquastic and complex-state settings.
DTO175.paper,paper,Continuous-time parametrization of neural quantum states for quantum dynamics,NQSC175,2025,title,[redacted_for_public_release],Paper node for s-NQS continuous-time dynamics.
DTO175.problem.dynamic_nqs_nontrivial,problem,Exact dynamics is hard and NQS dynamics remains nontrivial,NQSC175,2025,introduction,[redacted_for_public_release],The paper motivates continuous-time NQS by real-time dynamics difficulty.
DTO175.method.s_nqs_chebyshev,method,Parametrize time-dependent NQS parameters with Chebyshev temporal basis functions,NQSC175,2025,ansatz,[redacted_for_public_release],The s-NQS ansatz represents time-varying RBM parameters through a compact temporal basis.
DTO175.method.global_interval_loss,method,Optimize a global fidelity loss over a time interval,NQSC175,2025,loss,[redacted_for_public_release],The method optimizes dynamics over an interval instead of only a local time step.
DTO175.method.window_continuation,method,Continue dynamics across smooth windows with approximate propagators,NQSC175,2025,propagation/windows,[redacted_for_public_release],The implementation uses approximate propagators and window continuation for long times.
DTO175.benchmark.l40_tmps,benchmark,Spin-chain dynamics up to L=40 compared with tMPS,NQSC175,2025,larger L,[redacted_for_public_release],The paper evaluates larger spin-chain dynamics against tMPS.
DTO175.result.orders_lower_infidelity,result_claim,s-NQS obtains orders-lower infidelity than p-tVMC in tested regimes,NQSC175,2025,results,[redacted_for_public_release],The results show a large accuracy improvement over pointwise time-dependent VMC.
DTO175.result.dt_energy_stability,result_claim,Smaller time steps improve energy drift loss and observables at fixed parameters,NQSC175,2025,timestep,[redacted_for_public_release],The paper reports a timestep-stability tradeoff.
DTO175.limitation.integrator_expressivity,limitation,Accuracy is limited by integrators timestep and expressivity rather than only the framework,NQSC175,2025,appendix/conclusion,[redacted_for_public_release],"The paper identifies integrator order, timestep, and model expressivity as remaining limits."
DTO175.future.cnn_transformer_open,future_work,Extend s-NQS with better integrators CNNs transformers higher dimensions and open systems,NQSC175,2025,conclusion,[redacted_for_public_release],"The conclusion lists architecture, dimension, integrator, and open-system extensions."
DTO178.paper,paper,Instability of explicit time integration for strongly quenched dynamics with neural quantum states,NQSC178,2025,title,[redacted_for_public_release],Paper node for explicit TDVP instability under strong quenches.
DTO178.problem.strong_quench_instability,problem,Strongly driven NQS dynamics can break down under explicit TDVP integration,NQSC178,2025,abstract,[redacted_for_public_release],The paper studies instability in NQS time evolution under strong quenches.
DTO178.method.compare_tdvp_integrators,method,Compare explicit implicit adaptive and regularized TDVP formulations,NQSC178,2025,model,[redacted_for_public_release],The method varies TDVP formulations and integrators to isolate the source of breakdown.
DTO178.benchmark.2d_heisenberg_quench,benchmark,Two-dimensional Heisenberg exchange-quench dynamics,NQSC178,2025,model,[redacted_for_public_release],The benchmark is a strongly quenched two-dimensional Heisenberg model.
DTO178.result.breakdown_delta,result_claim,Explicit integration fails near Delta=-2 across formulations,NQSC178,2025,results,[redacted_for_public_release],The paper reports robust breakdown of explicit time integration in the strong-quench regime.
DTO178.result.implicit_adaptive_recovers,result_claim,Implicit and adaptive RK45 integration recover the dynamics,NQSC178,2025,discussion,[redacted_for_public_release],Alternative integrators recover dynamics where explicit integration fails.
DTO178.interpretation.stiffness_not_noise,interpretation,Breakdown is attributed to stiffness rather than noise regulator singularity or expressivity,NQSC178,2025,discussion,[redacted_for_public_release],The paper interprets the failure as a stiffness problem rather than common suspected causes.
DTO178.limitation.explicit_unreliable,limitation,Explicit TDVP can give unreliable observables in strongly quenched regimes,NQSC178,2025,abstract,[redacted_for_public_release],The paper warns that observable behavior can mask variational-parameter failure.
DTO178.future.alternatives_needed,future_work,Develop alternatives to explicit TDVP for stiff NQS dynamics,NQSC178,2025,abstract,[redacted_for_public_release],The abstract frames the instability as motivation for alternative NQS dynamics algorithms.
