unit_id,claim_id,step_index,table_round,from_item_id,link_id,to_item_id,traversal,why_step_matters,status,expected_from_item_id,expected_to_item_id,allowed_round
unit_156,path0_claim1,1,round0,DTO063.paper,L0080,DTO063.limitation.observable_degradation,forward,"Establishes that compressing/pruning an RBM in tomography can preserve some objectives (e.g., energy) while degrading physically meaningful observables (magnetization/correlations).",ok,DTO063.paper,DTO063.limitation.observable_degradation,round0
unit_156,path0_claim1,2,round0,DTO063.limitation.observable_degradation,L0082,DTO063.design_principle.monitor_observables,forward,"Turns the degradation observation into an actionable design principle: evaluate multiple observables, not just a single metric.",ok,DTO063.limitation.observable_degradation,DTO063.design_principle.monitor_observables,round0
unit_156,path0_claim1,3,round0,DTO063.design_principle.monitor_observables,L0012,DTO110.evaluation.energy_infidelity_scaling,forward,Connects that design principle to a mixed-state reconstruction setting where multiple metrics (energy vs infidelity-related behavior) are explicitly compared/scaled.,ok,DTO063.design_principle.monitor_observables,DTO110.evaluation.energy_infidelity_scaling,round0
unit_156,path0_claim2,1,round0,DTO110.paper,L0091,DTO110.limitation.nonconvex_optimization,forward,Grounds an assumed bottleneck: mixed-state neural reconstruction is nonconvex and can be hard to optimize reliably.,ok,DTO110.paper,DTO110.limitation.nonconvex_optimization,round0
unit_156,path0_claim2,2,round0,DTO110.paper,L0090,DTO110.evaluation.energy_infidelity_scaling,forward,Establishes a concrete evaluation surface (energy and infidelity scaling behavior) that could be used to detect optimization pathologies.,ok,DTO110.paper,DTO110.evaluation.energy_infidelity_scaling,round0
unit_156,path0_claim3,1,round0,DTO015.paper,L0064,DTO015.method.rbm_density_matrix,forward,Introduces an explicit parameterization for mixed/open-system objects (density matrices) with built-in Hermiticity/PSD.,ok,DTO015.paper,DTO015.method.rbm_density_matrix,round0
unit_156,path0_claim3,2,round0,DTO015.method.rbm_density_matrix,L0011,DTO041.method.spin_bibase_rbm,forward,Connects density-matrix RBM approaches to a related mapping approach for representing density/eigenmatrix problems with RBMs.,ok,DTO015.method.rbm_density_matrix,DTO041.method.spin_bibase_rbm,round0
unit_156,path0_claim3,3,round0,DTO041.paper,L0076,DTO041.method.spin_bibase_rbm,forward,Anchors the method in its originating work (Liouvillian-gap estimation) to avoid treating it as a free-floating technique.,ok,DTO041.paper,DTO041.method.spin_bibase_rbm,round0
unit_156,path0_claim3,4,round0,DTO041.paper,L0078,DTO041.limitation.xyz_slow,forward,"Adds a concrete failure mode (slow convergence for XYZ due to non-orthogonal decay modes), motivating robustness diagnostics and/or method tweaks.",ok,DTO041.paper,DTO041.limitation.xyz_slow,round0
unit_156,path1_claim3,1,round1,DTO015.method.rbm_density_matrix,A0001,DTO134.method.nqs_dqme_dissipatons,forward,Extends the Round 0 “RBM density matrix” representation direction from (primarily) Markovian/open-system settings to a concrete non-Markovian dissipaton-augmented DQME formulation encoded with NQS.,ok,DTO015.method.rbm_density_matrix,DTO134.method.nqs_dqme_dissipatons,round1
unit_156,path1_claim4,1,round1,OPW150.method.hubbard_ramping,A0071,OPW150.problem.strong_interaction_convergence,forward,"Adds a physics-motivated training-schedule intervention (parameter ramping) as an explicit response to a convergence bottleneck, suggesting a general pattern: change the training path, not just the ansatz.",ok,OPW150.method.hubbard_ramping,OPW150.problem.strong_interaction_convergence,round1
unit_156,path2_claim5,1,round2,DTO063.design_principle.monitor_observables,B0045,DTO201.evaluation.fidelity_susceptibility,forward,"Upgrades “monitor multiple observables” into a concrete *global* diagnostic construct (fidelity susceptibility, plus local/global metrics) designed to detect critical behavior and sensitivity, aligning directly with the multi-metric early-warning thesis.",endpoint_or_traversal_mismatch,DTO201.paper,DTO201.evaluation.fidelity_susceptibility,round2
unit_156,path2_claim6,1,round2,CSSA145.method.local_energy_surrogate,B0003,CSSA170.method.energy_parallelism,forward,"Connects local-energy compute bottlenecks to a concrete HPC intervention (multi-level energy parallelism), tightening the story that diagnostics/interventions must be feasible at scale.",ok,CSSA145.method.local_energy_surrogate,CSSA170.method.energy_parallelism,round2
unit_156,path2_claim7,1,round2,NQSC199.method.geoneb,B0067,NQSC199.evaluation.energy_angular_variance,forward,"Provides an example where “energy alone” is not the only lens: landscape/path analysis uses additional variances, reinforcing that multi-metric monitoring can reveal structure missed by energy minimization.",ok,NQSC199.method.geoneb,NQSC199.evaluation.energy_angular_variance,round2
unit_432,C0P1,1,round0,HPM083.paper,L0105,HPM083.problem.frustrated_sign_problem,forward,Grounds the motivation: the target regime is dominated by a frustrated/sign-structure difficulty rather than only parameter count.,ok,HPM083.paper,HPM083.problem.frustrated_sign_problem,round0
unit_432,C0P1,2,round0,HPM083.paper,L0106,HPM083.method.2d_crnn_symmetry,forward,Introduces a concrete architectural lever (complex RNN with symmetry) meant to address that regime.,ok,HPM083.paper,HPM083.method.2d_crnn_symmetry,round0
unit_432,C0P1,3,round0,HPM083.paper,L0107,HPM083.method.annealing,forward,Adds an optimization/training lever that can be composed with the architecture to stabilize learning.,ok,HPM083.paper,HPM083.method.annealing,round0
unit_432,C0P1,4,round0,HPM083.paper,L0109,HPM083.result.beats_dmrg_triangular,forward,Provides an outcome anchor: this combined approach can reach strong accuracy on a frustrated benchmark.,ok,HPM083.paper,HPM083.result.beats_dmrg_triangular,round0
unit_432,C0P2,1,round0,APW060.paper,L0009,APW060.limitation.local_energy_barrier,forward,Pins down the compute bottleneck: local-energy evaluation dominates cost in this VMC setting.,ok,APW060.paper,APW060.limitation.local_energy_barrier,round0
unit_432,C0P2,2,round0,APW060.paper,L0007,APW060.method.physical_priors_constraints,forward,Shows a remedy class (constraints/priors) that can reduce variance/search burden without changing the core objective.,ok,APW060.paper,APW060.method.physical_priors_constraints,round0
unit_432,C0P2,3,round0,APW060.paper,L0006,APW060.method.unique_configuration_sampling,forward,Adds a sampling-side lever (unique configurations) that can reduce redundant work and improve effective sample diversity.,ok,APW060.paper,APW060.method.unique_configuration_sampling,round0
unit_432,C0P2,4,round0,APW060.paper,L0008,APW060.benchmark.molecules_30_spin_orbitals,forward,Ensures the above bottleneck/remedies are evidenced in a nontrivial scale regime (30 spin-orbitals).,ok,APW060.paper,APW060.benchmark.molecules_30_spin_orbitals,round0
unit_432,C0P3,1,round0,DTO063.paper,L0053,DTO063.benchmark.tfim_pm_qcp,forward,Establishes the compression/pruning setting across distinct TFIM regimes including criticality.,ok,DTO063.paper,DTO063.benchmark.tfim_pm_qcp,round0
unit_432,C0P3,2,round0,DTO063.paper,L0054,DTO063.limitation.observable_degradation,forward,States the key failure: pruning may preserve energy while distorting magnetization/correlations.,ok,DTO063.paper,DTO063.limitation.observable_degradation,round0
unit_432,C0P3,3,round0,DTO063.limitation.observable_degradation,L0056,DTO063.design_principle.monitor_observables,forward,Converts the failure into an actionable design principle (monitor multiple observables).,ok,DTO063.limitation.observable_degradation,DTO063.design_principle.monitor_observables,round0
unit_608,R1C1,1,round1,OPW150.paper,A0052,NQSC127.paper.01,forward,"Connects a concrete recent autoregressive Hubbard NQS study to a 2024 review node, enabling an auditable “optimization-bottleneck + mitigation” trajectory anchored by a review context.",ok,OPW150.paper,NQSC127.paper.01,round1
unit_608,R1C2,1,round1,APW153.paper,A0064,OPW150.paper,forward,"Links physics-informed transformer work to autoregressive Hubbard work, supporting a path from “basis/interpretability + sampling efficiency” to “convergence issues + ramping curriculum”.",ok,APW153.paper,OPW150.paper,round1
unit_608,R1C3,1,round1,NQSC127.paper.01,A0003,FWP004.paper,forward,"Anchors the older RBM strongly-correlated paper within the review’s citation neighborhood, letting us relate classic RBM optimization bottlenecks to updated 2024 context (still via citation edges).",ok,NQSC127.paper.01,FWP004.paper,round1
unit_608,R2C1,1,round2,CSSA170.paper,B0007,OPW109.paper,forward,"Adds an explicit scalability/HPC-oriented NQS chemistry framework node into the auditable citation graph (even if via citation), supporting the “training is compute/memory limited” angle at scale.",ok,CSSA170.paper,OPW109.paper,round2
unit_608,R2C2,1,round2,NQSC164.paper,B0001,HPM011.paper,forward,"Connects a 2025 expressivity/theory paper to a known backflow-NQS branch via citation, reinforcing that ansatz expressivity/structure (determinantal vs alternatives) is a parallel axis to optimization curricula.",ok,NQSC164.paper,HPM011.paper,round2
unit_608,R2C3,1,round2,DTO178.paper,B0020,DTO031.paper,forward,"Brings in a concrete dynamics failure mode (explicit TDVP instability) and links it to prior real-time NQS literature, supporting a refined “bottleneck = stiffness/integrator instability” subcase for dynamics trajectories.",ok,DTO178.paper,DTO031.paper,round2
unit_795,C1,1,round0,APW034.method.rnn_wavefunction_autoregressive,L0006,CSS045.problem.autoregressive_symmetry_tradeoff,forward,Establishes a concrete bottleneck: exact-sampling autoregressive NQS make symmetry implementation difficult.,ok,APW034.method.rnn_wavefunction_autoregressive,CSS045.problem.autoregressive_symmetry_tradeoff,round0
unit_795,C1,2,round0,CSS045.problem.autoregressive_symmetry_tradeoff,L0006,APW034.method.rnn_wavefunction_autoregressive,reverse,Keeps the claim grounded in the core autoregressive method node rather than drifting to a disconnected critique.,ok,APW034.method.rnn_wavefunction_autoregressive,CSS045.problem.autoregressive_symmetry_tradeoff,round0
unit_795,C1,3,round0,APW034.method.rnn_wavefunction_autoregressive,L0013,HPM083.method.2d_crnn_symmetry,forward,Shows that symmetry-aware autoregressive constructions exist in practice (U(1) and lattice symmetries in 2D).,ok,APW034.method.rnn_wavefunction_autoregressive,HPM083.method.2d_crnn_symmetry,round0
unit_795,C2,1,round0,HPM026.future.alternative_sampling_deeper_networks,L0017,HPM117.method.symmetry_aware_pruning,forward,Connects the stated need for alternative sampling/deeper networks to an explicit constraint-enforcement mechanism (pruning).,ok,HPM026.future.alternative_sampling_deeper_networks,HPM117.method.symmetry_aware_pruning,round0
unit_795,C2,2,round0,APW060.method.physical_priors_constraints,L0020,HPM117.method.symmetry_aware_pruning,forward,Supports using hard physical constraints within an autoregressive ansatz via pruning unphysical branches.,ok,APW060.method.physical_priors_constraints,HPM117.method.symmetry_aware_pruning,round0
unit_795,C2,3,round0,OPW085.method.reverse_sampling_order,L0021,HPM117.method.symmetry_aware_pruning,forward,Adds that sampling-order design choices are part of the same constraint-aware pruning theme.,ok,OPW085.method.reverse_sampling_order,HPM117.method.symmetry_aware_pruning,round0
unit_795,C3,1,round0,CSSA024.method.ferminet,L0004,CSSA025.method.paulinetsjb,forward,Anchors a determinant/backflow fermionic NQS lineage from FermiNet toward PauliNet-style constructions.,ok,CSSA024.method.ferminet,CSSA025.method.paulinetsjb,round0
unit_795,C3,2,round0,CSSA025.method.paulinetsjb,L0003,CSSA051.problem.efficiency_tuning,forward,"Establishes the compute/accuracy tradeoff pressure: smaller/traditional ansatzes are cheaper but notably worse, motivating efficiency tuning.",ok,CSSA025.method.paulinetsjb,CSSA051.problem.efficiency_tuning,round0
unit_795,C3,3,round1,CSSA024.paper,A0002,CSSA025.paper,forward,"Adds an auditable link-level statement that PauliNet is backflow-based like FermiNet but incorporates cusp/Jastrow structure, refining the “lineage” context for fermionic efficiency tuning.",ok,CSSA024.paper,CSSA025.paper,round1
unit_795,C4,1,round1,DTO015.method.rbm_density_matrix,A0001,DTO134.method.nqs_dqme_dissipatons,forward,"Extends the constraint/physicality theme from mixed-state RBM physicality to a newer non-Markovian open-system NQS construction, showing constraint preservation generalizes beyond pure states.",ok,DTO015.method.rbm_density_matrix,DTO134.method.nqs_dqme_dissipatons,round1
unit_795,C5,1,round2,CSSA145.method.sampling_without_replacement,B0004,CSSA170.method.sampling_parallelism,forward,Updates the trajectory with a concrete scalable sampling method: controlling unique samples and managing memory/parallelism at scale.,ok,CSSA145.method.sampling_without_replacement,CSSA170.method.sampling_parallelism,round2
unit_795,C5,2,round2,CSSA145.method.local_energy_surrogate,B0003,CSSA170.method.energy_parallelism,forward,"Adds that local-energy evaluation is a bottleneck and can be attacked with multi-level parallelism, tying constraint-aware sampling to end-to-end training cost.",ok,CSSA145.method.local_energy_surrogate,CSSA170.method.energy_parallelism,round2
unit_795,C5,3,round2,CSSA145.method.gpu_compression,B0002,CSSA170.method.cache_optimization,forward,Adds the transformer memory/cache barrier and a concrete cache-centric remedy (pooling/recompute/lazy expansion).,ok,CSSA145.method.gpu_compression,CSSA170.method.cache_optimization,round2
